Date and time when incident occurred:,Describe the Report,Enter Location,Water Depth (if available),Salinity Measurements (if available),Upload Photo or Video,Upload Photo or Video 2,Upload Photo or Video 3
10-17-2016 11:20 AM,On Fort Lauderdale beach near beach place,"22040 SW 164th Ave, Goulds, FL 33170, USA
25.55840, -80.45820",About 10 inches,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352791206216509921/IMG_8344.JPG,,
10-19-2016 12:40 PM,"Near mangroves we see a fairly large puddle of water, and the sea level of the water his high on the mangrove trees. Where the water begins seems to be the same level as the dry bed of leaves and floor.","18000 SW 88th Ct, Palmetto Bay, FL 33157, USA
25.60320, -80.33470",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352739918718583887/IMG_7721.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352739918718583887/IMG_7723.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352739918718583887/IMG_7724.jpg
10-15-2016 2:30 AM,"While the water level appeared normal, it was clear that flooding had occurred. The flood washed trash and debri up onto the concrete adjacent to the water.","601 SW 8th St, Miami, FL 33130, USA
25.76650, -80.20450",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352739066901162233/image.jpeg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352739066901162233/25_image.jpeg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352739066901162233/26_image.jpeg
10-16-2016 8:00 AM,"2655 NE Miami Gardens Dr, Miami, FL 33180
A flood occurred near an animal hospital on Miami Gardens Dr.","25.93880, -80.21440",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352734300971987247/IMG_2960.JPG,,
10-15-2016 10:10 AM,There was hardly any water. I saw that there was water that had emerged from the sewers.,"25.73721, -80.22200",1-2 cm,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352724231236266048/IMG_5100.JPG,https://www.jotform.com/uploads/susanjacobson/62585175394163/352724231236266048/IMG_5105.JPG,https://www.jotform.com/uploads/susanjacobson/62585175394163/352724231236266048/IMG_5102.JPG
10-19-2016 12:00 PM,"FIU BBC Mangroves extremely flooded, showing a higher level of water than usual","15045 Biscayne Blvd, North Miami, FL 33181, USA
25.90504, -80.14694",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352709709252317037/image.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352709709252317037/25_image.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352709709252317037/26_image.jpg
10-16-2016 10:20 AM,Matheson Hammock  park was 3 feet in the morning.,"Matheson Park, Coral Gables, FL 33156, USA
25.68182, -80.27227",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352708361216675250/IMG_2661.JPG,https://www.jotform.com/uploads/susanjacobson/62585175394163/352708361216675250/IMG_2674.JPG,https://www.jotform.com/uploads/susanjacobson/62585175394163/352708361216675250/IMG_2672.JPG
10-19-2016 12:40 PM,There was water overflowing towards the grass.,"22040 SW 164th Ave, Goulds, FL 33170, USA
25.55840, -80.45820",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705826416861053/20161019_125927.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705826416861053/20161019_125822.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705826416861053/20161019_125901.jpg
10-19-2016 12:40 PM,The was a very strong tide due to the winds. The ground surface was very soggy. There was a puddle not too far from the mangroves that may have been from rain in the past.,"Bay Vista Blvd, North Miami, FL 33181, USA
25.90841, -80.13806",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705575212374173/IMG_8580.JPG,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705575212374173/IMG_8578.JPG,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705575212374173/IMG_8579.JPG
10-19-2016 12:40 PM,The area was steap with water arising and mangroves on the floor near the rocks and water was alittle cold. The flow was almost to the sidewalk,"Fiu North Campus, North Miami, FL 33181, USA
25.91156, -80.14130",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705571116910720/49858878553_C0234F5A-0BDD-435F-A12A-A21CDD0CC772.MOV,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705571116910720/image.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705571116910720/26_image.jpg
10-19-2016 1:00 PM,,"Bay Vista Blvd, North Miami, FL 33181, USA
25.90906, -80.13789",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705504116460184/1476896235827-904635016.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705504116460184/1476896256340641589174.jpg,
10-19-2016 12:40 PM,"The water by the BBC recreation seems to be high for normal. However, the water is not flooding the land or the sidewalks.","7800 NW 14th St, Pembroke Pines, FL 33024, USA
26.02060, -80.24440",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705437851611835/image.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705437851611835/25_image.jpg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705437851611835/26_image.jpg
10-19-2016 12:50 PM,Lots of water getting near pavement,"22040 SW 164th Ave, Goulds, FL 33170, USA
25.55840, -80.45820",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705284116710825/1476895911470817819801.jpg,,
10-19-2016 12:50 PM,Lots of water getting near pavement,"22040 SW 164th Ave, Goulds, FL 33170, USA
25.55840, -80.45820",,,https://www.jotform.com/uploads/susanjacobson/62585175394163/352705134116550652/1476895911470817819801.jpg,,
